"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","getUserAfterUpdateTest","Surefire suite","2026-08-19","broken","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserAfterUpdateTest"
"","1","checkAlloButtonDisplay","Surefire suite","2026-08-19","skipped","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","checkAlloButtonDisplay"
"","4085","createUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","createUserTest"
"","0","checkFenDisplay","Surefire suite","2026-08-19","skipped","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","checkFenDisplay"
"","8065","updateUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","updateUserTest"
"","59","getUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserTest"
"","69","loginUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","loginUserTest"
"","2","openBrowser","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","openBrowser"
"","0","testAlloBuyersSectionVerification","Surefire suite","2026-08-19","skipped","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloBuyersSectionVerification"
"","0","testAlloProductDetailVerification","Surefire suite","2026-08-19","skipped","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloProductDetailVerification"
